colors% ./client -b 1k hspc02-exp0                 ~/app/c/socket/tcp-server-client/client
2025-10-16 10:16:38.541140 client: SO_RCVBUF: 131072 (init)
2025-10-16 10:16:38.541914 before read() quickack_state: 1
2025-10-16 10:16:38.543161 after  read() quickack_state: 1
2025-10-16 10:16:38.543175 before read() quickack_state: 1
2025-10-16 10:16:38.643200 after  read() quickack_state: 1
2025-10-16 10:16:38.643220 before read() quickack_state: 1
2025-10-16 10:16:38.743175 after  read() quickack_state: 1
2025-10-16 10:16:38.743195 before read() quickack_state: 1
2025-10-16 10:16:38.843243 after  read() quickack_state: 1
2025-10-16 10:16:38.843264 before read() quickack_state: 1
2025-10-16 10:16:38.943204 after  read() quickack_state: 1
2025-10-16 10:16:38.943225 before read() quickack_state: 1
2025-10-16 10:16:39.043257 after  read() quickack_state: 1
2025-10-16 10:16:39.043277 before read() quickack_state: 1
2025-10-16 10:16:39.143258 after  read() quickack_state: 1
2025-10-16 10:16:39.143279 before read() quickack_state: 1
2025-10-16 10:16:39.243246 after  read() quickack_state: 1
2025-10-16 10:16:39.243263 before read() quickack_state: 1
2025-10-16 10:16:39.343262 after  read() quickack_state: 1
2025-10-16 10:16:39.343283 before read() quickack_state: 1
2025-10-16 10:16:39.443262 after  read() quickack_state: 1
2025-10-16 10:16:39.443283 before read() quickack_state: 1
2025-10-16 10:16:39.543281 after  read() quickack_state: 1
2025-10-16 10:16:39.543300 before read() quickack_state: 1
2025-10-16 10:16:39.643241 after  read() quickack_state: 1
2025-10-16 10:16:39.643270 before read() quickack_state: 1
2025-10-16 10:16:39.743292 after  read() quickack_state: 1
2025-10-16 10:16:39.743310 before read() quickack_state: 1
2025-10-16 10:16:39.843281 after  read() quickack_state: 1
2025-10-16 10:16:39.843299 before read() quickack_state: 1
2025-10-16 10:16:39.943274 after  read() quickack_state: 1
2025-10-16 10:16:39.943292 before read() quickack_state: 1
2025-10-16 10:16:40.043334 after  read() quickack_state: 1
2025-10-16 10:16:40.043362 before read() quickack_state: 1
2025-10-16 10:16:40.143286 after  read() quickack_state: 1
2025-10-16 10:16:40.143305 before read() quickack_state: 1
2025-10-16 10:16:40.243357 after  read() quickack_state: 1
2025-10-16 10:16:40.243375 before read() quickack_state: 1
2025-10-16 10:16:40.343312 after  read() quickack_state: 1
2025-10-16 10:16:40.343331 before read() quickack_state: 1
2025-10-16 10:16:40.443297 after  read() quickack_state: 1
2025-10-16 10:16:40.443316 before read() quickack_state: 1
2025-10-16 10:16:40.543336 after  read() quickack_state: 1
2025-10-16 10:16:40.543355 before read() quickack_state: 1
2025-10-16 10:16:40.643326 after  read() quickack_state: 1
