0.000000 0.000000 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [S], seq 4246028135, win 64240, options [mss 1460,sackOK,TS val 3014788405 ecr 0,nop,wscale 7], length 0
0.000333 0.000333 IP 192.168.10.201.1234 > 192.168.10.200.47134: Flags [S.], seq 3829857342, ack 4246028136, win 28960, options [mss 1460,sackOK,TS val 1083232858 ecr 3014788405,nop,wscale 7], length 0
0.000361 0.000028 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 1, win 502, options [nop,nop,TS val 3014788405 ecr 1083232858], length 0
0.001599 0.000021 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 1025, win 501, options [nop,nop,TS val 3014788407 ecr 1083232860], length 0
0.101637 0.000022 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 2049, win 501, options [nop,nop,TS val 3014788507 ecr 1083232960], length 0
0.201630 0.000021 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 3073, win 501, options [nop,nop,TS val 3014788607 ecr 1083233060], length 0
0.301667 0.000021 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 4097, win 501, options [nop,nop,TS val 3014788707 ecr 1083233160], length 0
0.401651 0.000021 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 5121, win 501, options [nop,nop,TS val 3014788807 ecr 1083233260], length 0
0.501693 0.000021 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 6145, win 501, options [nop,nop,TS val 3014788907 ecr 1083233360], length 0
0.601680 0.000022 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 7169, win 501, options [nop,nop,TS val 3014789007 ecr 1083233460], length 0
0.701716 0.000021 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 8193, win 501, options [nop,nop,TS val 3014789107 ecr 1083233560], length 0
0.801706 0.000021 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 9217, win 501, options [nop,nop,TS val 3014789207 ecr 1083233660], length 0
0.901744 0.000020 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 10241, win 501, options [nop,nop,TS val 3014789307 ecr 1083233760], length 0
1.001732 0.000022 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 11265, win 501, options [nop,nop,TS val 3014789407 ecr 1083233860], length 0
1.101771 0.000023 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 12289, win 501, options [nop,nop,TS val 3014789507 ecr 1083233960], length 0
1.201757 0.000021 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 13313, win 501, options [nop,nop,TS val 3014789607 ecr 1083234060], length 0
1.301798 0.000021 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 14337, win 501, options [nop,nop,TS val 3014789707 ecr 1083234160], length 0
1.401792 0.000021 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 15361, win 501, options [nop,nop,TS val 3014789807 ecr 1083234260], length 0
1.501824 0.000021 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 16385, win 501, options [nop,nop,TS val 3014789907 ecr 1083234360], length 0
1.642092 0.040304 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 17409, win 501, options [nop,nop,TS val 3014790047 ecr 1083234460], length 0
1.742063 0.040238 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 18433, win 501, options [nop,nop,TS val 3014790147 ecr 1083234560], length 0
1.842094 0.040271 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 19457, win 501, options [nop,nop,TS val 3014790247 ecr 1083234660], length 0
1.942092 0.040237 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 20481, win 501, options [nop,nop,TS val 3014790347 ecr 1083234760], length 0
2.042093 0.040204 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 21505, win 501, options [nop,nop,TS val 3014790447 ecr 1083234860], length 0
2.142099 0.040218 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 22529, win 501, options [nop,nop,TS val 3014790547 ecr 1083234960], length 0
2.242075 0.040155 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 23553, win 501, options [nop,nop,TS val 3014790647 ecr 1083235060], length 0
2.346093 0.044097 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 24577, win 501, options [nop,nop,TS val 3014790751 ecr 1083235160], length 0
2.446096 0.044012 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 25601, win 501, options [nop,nop,TS val 3014790851 ecr 1083235260], length 0
2.546101 0.044005 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 26625, win 501, options [nop,nop,TS val 3014790951 ecr 1083235360], length 0
2.646093 0.044070 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 27649, win 501, options [nop,nop,TS val 3014791051 ecr 1083235460], length 0
2.746079 0.044058 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 28673, win 501, options [nop,nop,TS val 3014791151 ecr 1083235560], length 0
2.846094 0.043999 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 29697, win 501, options [nop,nop,TS val 3014791251 ecr 1083235660], length 0
2.946084 0.043988 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 30721, win 501, options [nop,nop,TS val 3014791351 ecr 1083235760], length 0
3.046161 0.044059 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 31745, win 501, options [nop,nop,TS val 3014791451 ecr 1083235860], length 0
3.146096 0.043993 IP 192.168.10.200.47134 > 192.168.10.201.1234: Flags [.], ack 32769, win 501, options [nop,nop,TS val 3014791551 ecr 1083235960], length 0
